Name,ID,Zip,County,Address,Latitude,Longitude
#split S-P-12006 Steel door frame,ec3ns2ax,110008,Delhi Division,India,22.351993560791016,79.36287689208984
S-P-12001 Average Black/Bare Steel Pipes,ec3axmef,110008,Delhi Division,India,22.351993560791016,79.36287689208984
S-P-12005 Cold Rolled Steel Strips,ec3ef4zc,110008,Delhi Division,India,22.351993560791016,79.36287689208984
PosMAC®,ec3ds9j8,790-300,,"6261 Donghaean-ro, Goe-dong, Nam-gu, Pohang, Gyeongsangbuk-do, South Korea",35.9985766,129.3829641
"S-P-09819 Construction Product (Roofing Underlayment, Building Wrap & Flashing Tape)",ec3cp4w3,382721,,"Santej - Vadsar Rd, Santej, Gujarat, India",23.1099331,72.4692942
S-P-09813 Stainless Steel Cast & Rolled Products,ec3ghswh,,,"Sarkhej-Bavla Rd, Ahmedabad, Gujarat, India",22.9572643,72.4717996
S-P-11894 STEELAGE MAGNA CLASS C SAFE,ec3nud1g,,,"G.I.D.C. Industrial Estate, Godhra, Gujarat, India",22.7938374,73.6138821
"S-P-09805 Average Reinforcement Steel Bars, Round Bar, Wire Rod & RSC Steel Product",ec37emyd,122001,Gurgaon Division,India,22.351993560791016,79.36287689208984
S-P-09804 Average Semi-Finished Steel Product,ec3h31nb,122001,Gurgaon Division,India,22.351993560791016,79.36287689208984
3 mm PARSOL,ec3ed6u4,,Chennai,"Egmore, TN, India",13.076440811157227,80.26013946533203
Portland Slag Cement,ec3k5q1n,583119,Mumbai Suburban,"Bandra Kurla Complex Rd, Mumbai, Maharashtra, India",19.0622678,72.8595296
3 mm REFLECTASOL on PLANILUX,ec321k9m,,Chennai,"Egmore, TN, India",13.076440811157227,80.26013946533203
2 mm PLANILUX,ec3fqbef,,Chennai,"Egmore, TN, India",13.076440811157227,80.26013946533203
SGG PLANILUX 2 mm Magnetron Coated Glass,ec3nh4ng,,Chennai,"Egmore, TN, India",13.076440811157227,80.26013946533203
M5 Grade,ec3r3awu,577501,Chitradurga,"Pune - Bengaluru Hwy, 577501, India",14.2176103,76.4163107
12.5 mm Gypboard® Plain,ec370jnd,85706,Bangalore Urban,"Bengaluru, Karnataka, India",12.9715987,77.5945627
S-P-09811 Magnetron coated glass on SGG PARSOL 6 mm,ec3rmp3d,,Chennai,"Chennai, Tamil Nadu, India",13.0826802,80.2707184
S-P-09810 Magnetron coated glass On SGG PARSOL 4 mm,ec3rdguw,,Chennai,"Chennai, Tamil Nadu, India",13.0826802,80.2707184
S-P-09221 Compacts (Thick High Pressure Laminates-2.0mm and above),ec374t2y,110037,Delhi Division,"H42C+6GH, Aerocity, Indira Gandhi International Airport, New Delhi, Delhi 110037, India",28.5505625,77.1213594
S-P-09219 High Pressure Laminates,ec3a2zcu,160019,,"14, 7c, Madhya Marg, Sector 7-C, Sector 7, Chandigarh, 160019, India",30.728231,76.8022244
S-P-09223 SGG PARSOL® 6 mm,ec3jfy87,,Chennai,"Chennai, Tamil Nadu, India",13.0826802,80.2707184
"S-P-09209 Aluminum wound, Mineral oil filled Transformer – 8493C",ec3fwdpd,502329,,"Rudraram, Telangana 502329, India",17.5615117,78.1661883
S-P-06491 PRIMARY ALUMINIUM,ec3rgxrh,768202,Northern Division,"R25G+XM4, Brundamal, Odisha, India",21.8098875,84.02670309999999
S-P-06476 Clay Products,ec3e7wfx,272164,Varanasi Division,"Varanasi, Uttar Pradesh, India",25.3176452,82.9739144
S-P-06471 1 m3 of Ready-Mix Concrete,ec3xf15x,400051,Mumbai Suburban,"Bandra Kurla Complex Rd, Mumbai, Maharashtra, India",19.0622678,72.8595296
"S-P-06470 Aluminum wound, Mineral oil filled Transformer – 8178 E",ec3fegd4,502329,,"Rudraram, Telangana 502329, India",17.5615117,78.1661883
S-P-06076 ERW Offline Annealing Steel Pipes,ec37jezc,370140,,"78VX+JXV, Ramwadi, Bhachau, Gujarat 370140, India",23.2941125,70.3499219
