ID,name,gwp,declared_unit,category
ec34dgk1,"Orion™ 75 5/8""",468 kgCO2e,1000 sf,Acoustical_Ceilings
ec3k6c1d,"Orion™ 85 5/8""",465 kgCO2e,1000 sf,Acoustical_Ceilings
ec3g2r4m,1-1/2 Class 2AB,9.1472 kgCO2e,1 t,Aggregates
ec3cpzqt,1-1/2 Class 4AB,9.1472 kgCO2e,1 t,Aggregates
ec3hzrxw,"1-1/2 x 3/4"" Drain Rock",9.8876 kgCO2e,1 t,Aggregates
ec3dq2e0,"1-1/2 x 3/4"" Drain Rock",9.1472 kgCO2e,1 t,Aggregates
ec3muug9,1/2 x 1/4 Drain Rock,9.8876 kgCO2e,1 t,Aggregates
ec31h0d3,1/2 x 1/4 Drain Rock,9.1472 kgCO2e,1 t,Aggregates
ec3nzqd8,1/2” Crushed,5.65 kgCO2e,1 t,Aggregates
ec3rgs1p,1/4 #10 Drain Rock,9.1472 kgCO2e,1 t,Aggregates
ec39ans5,1/4 Premium,9.1472 kgCO2e,1 t,Aggregates
ec3248a3,1” x #4,4.43 kgCO2e,1 t,Aggregates
ec3044h7,3/4 Class 2AB,9.1472 kgCO2e,1 t,Aggregates
ec3yfmpc,3/4 Class 2AB,9.8876 kgCO2e,1 t,Aggregates
ec329wmp,3/4 Class 4AB,9.1472 kgCO2e,1 t,Aggregates
ec3q5zah,3/4 Concrete Mix,9.8876 kgCO2e,1 t,Aggregates
ec3fq6ku,3/4 Concrete Mix,9.1472 kgCO2e,1 t,Aggregates
ec3uwenc,"3/4 x 1/2"" Drain Rock",9.8876 kgCO2e,1 t,Aggregates
ec3t37ay,"3/4 x 1/2"" Drain Rock",9.1472 kgCO2e,1 t,Aggregates
ec397s3d,3/4” Crushed,5.63 kgCO2e,1 t,Aggregates
ec3w36p7,3/4” x  #4,4.48 kgCO2e,1 t,Aggregates
ec38pzzx,"3/8 "" Pea Gravel",9.8876 kgCO2e,1 t,Aggregates
ec3qnyhb,3/8 x # 6 Drain Rock,9.1472 kgCO2e,1 t,Aggregates
ec3my08a,3/8 x # 6 Drain Rock,9.8876 kgCO2e,1 t,Aggregates
ec3ea24u,3/8” Crushed,5.75 kgCO2e,1 t,Aggregates
